index,original_filename,sha256,published_thumbnail,category
1,Screenshot from 2026-07-28 22-33-44.png,c30f28bbb19d4f85603d146ce0a980e9023831d3fadd816eb74fa78a53c0263c,evidence/work-screenshots/thumbnails/work-evidence-001.jpg,"DNS, load balancers, OUDSM and terminal checks"
2,Screenshot from 2026-07-28 22-37-36.png,2fca9109c284ae4f4c7b4012baf8af3d2edecd9623f3b353d72dc699aed96f38,evidence/work-screenshots/thumbnails/work-evidence-002.jpg,"DNS, load balancers, OUDSM and terminal checks"
3,Screenshot from 2026-07-28 22-38-11.png,5c2e5b14a8f539ee1703d84fcdc78d92464c12d44b090e771bb556090b46ea5a,evidence/work-screenshots/thumbnails/work-evidence-003.jpg,"DNS, load balancers, OUDSM and terminal checks"
4,Screenshot from 2026-07-28 22-38-16.png,76ce61f3cec1ddbcd90d84b0da2ecb77f81ee1af05ab8f34f211802f518a39b1,evidence/work-screenshots/thumbnails/work-evidence-004.jpg,"DNS, load balancers, OUDSM and terminal checks"
5,Screenshot from 2026-07-28 22-38-25.png,740f230f819db8a51862e8f1056158864a86f608339dc9637db2389957c3baa8,evidence/work-screenshots/thumbnails/work-evidence-005.jpg,"DNS, load balancers, OUDSM and terminal checks"
6,Screenshot from 2026-07-28 22-38-28.png,d1cd9fc84692d5dad8b6d2e05af9f8e76a6319b3d87a7742e8c21bdb29aa253a,evidence/work-screenshots/thumbnails/work-evidence-006.jpg,"DNS, load balancers, OUDSM and terminal checks"
7,Screenshot from 2026-07-28 22-38-32.png,07834d8f6a419624fb2112663b3bbb7bc11f03d526e2415ef26a5853dd28c8d8,evidence/work-screenshots/thumbnails/work-evidence-007.jpg,"DNS, load balancers, OUDSM and terminal checks"
8,Screenshot from 2026-07-28 22-38-36.png,9330192a99481acbd5228db0ec9da79fb559e681da2910914e15ebcf24e80a80,evidence/work-screenshots/thumbnails/work-evidence-008.jpg,"DNS, load balancers, OUDSM and terminal checks"
9,Screenshot from 2026-07-28 22-38-40.png,b0b041694f8e29b3451c4b2f6536dc259c1d437dc4949acd76e31253c0fb1df7,evidence/work-screenshots/thumbnails/work-evidence-009.jpg,"DNS, load balancers, OUDSM and terminal checks"
10,Screenshot from 2026-07-28 22-38-43.png,874c6312f0b709a964f11758807cd600eed4fb831817483733fe23a7567a1426,evidence/work-screenshots/thumbnails/work-evidence-010.jpg,"DNS, load balancers, OUDSM and terminal checks"
11,Screenshot from 2026-07-28 22-38-50.png,a0183665d3bfc32e9619e5e289bcf3b02954e739e9126f911be7c8b1a42ff728,evidence/work-screenshots/thumbnails/work-evidence-011.jpg,"DNS, load balancers, OUDSM and terminal checks"
12,Screenshot from 2026-07-28 22-39-01.png,f94973e91476dc6a902320aeced725ee2e3ab9750170631ae983b2d3ea1ef005,evidence/work-screenshots/thumbnails/work-evidence-012.jpg,"DNS, load balancers, OUDSM and terminal checks"
13,Screenshot from 2026-07-28 22-39-04.png,184752abbc288d0232788ee5b81d3590ec729c0928473dd8a2ae4482c4e21f99,evidence/work-screenshots/thumbnails/work-evidence-013.jpg,"DNS, load balancers, OUDSM and terminal checks"
14,Screenshot from 2026-07-28 22-39-07.png,9efd5ffe50675595577947324a6c0e061addfa7c7045c9ddb9e5b15a3644d701,evidence/work-screenshots/thumbnails/work-evidence-014.jpg,"DNS, load balancers, OUDSM and terminal checks"
15,Screenshot from 2026-07-28 22-39-10.png,eec072f793accb22846ca96e621e63353e6fcf6419e0ca4cc7c4cf115b4ab599,evidence/work-screenshots/thumbnails/work-evidence-015.jpg,"DNS, load balancers, OUDSM and terminal checks"
16,Screenshot from 2026-07-28 22-39-12.png,c9e10eb05d43c03e59a8392893c1932db647293e990454e1620fb55bf5a1b2f8,evidence/work-screenshots/thumbnails/work-evidence-016.jpg,"DNS, load balancers, OUDSM and terminal checks"
17,Screenshot from 2026-07-28 22-39-25.png,6792a2f02ff12a97528fceafd9f2da31ec935afe3b25ff200abe28f20df65599,evidence/work-screenshots/thumbnails/work-evidence-017.jpg,"DNS, load balancers, OUDSM and terminal checks"
18,Screenshot from 2026-07-28 22-39-34.png,75cd6eadead50305839336975ff2c6f24a255b019375775e99f79f8f26a7aabc,evidence/work-screenshots/thumbnails/work-evidence-018.jpg,"DNS, load balancers, OUDSM and terminal checks"
19,Screenshot from 2026-07-28 22-39-38.png,5eba38ee981eb1403f437e18110688f4e72c5aa04577d54d798582d51538576d,evidence/work-screenshots/thumbnails/work-evidence-019.jpg,"DNS, load balancers, OUDSM and terminal checks"
